Word,Count
#ForegroundLinearLayout_android_foregroundGravity,6
#ListPopupWindow_android_dropDownHorizontalOffset,6
#BottomNavigationBar_bnbBackgroundColor,6
#LinearLayoutCompat_dividerPadding,6
#ActionBar_titleTextStyle,6
#PopupWindow_android_popupAnimationStyle,6
#View_theme,6
#AppCompatTheme_buttonBarStyle,6
#TextInputLayout_counterTextAppearance,6
#ActionBar_homeLayout,6
#ConstraintLayout_Layout_layout_constraintBottom_toBottomOf,6
Navigation,6
#CardView_cardPreventCornerOverlap,6
#ActionMode_closeItemLayout,6
<tr><td>none</td><td>1</td><td></td></tr>,6
#View_paddingStart,6
<tr><td>disableHome</td><td>20</td><td></td></tr>,6
#TabLayout_tabContentStart,6
#AppBarLayout_android_touchscreenBlocksFocus,6
#ConstraintSet_layout_constraintTop_toTopOf,6
you,6
<tr><td>tabMode</td><td>2</td><td></td></tr>,6
#ConstraintLayout_Layout_layout_constraintTop_creator,6
<tr><td>async</td><td>1</td><td></td></tr>,6
#ConstraintLayout_Layout_layout_goneMarginTop,6
#ActionBar_progressBarStyle,6
#ConstraintLayout_Layout_layout_constraintBottom_creator,6
#ConstraintLayout_Layout_layout_optimizationLevel,6
#CollapsingToolbarLayout_titleEnabled,6
#RecyclerView_layoutManager,6
#CollapsingToolbarLayout_expandedTitleMarginBottom,6
#DesignTheme_textColorError,6
#AppCompatTheme_tooltipForegroundColor,6
#AppCompatTheme_actionBarStyle,6
<tr><td>never</td><td>0</td><td></td></tr>,6
up,6
#TextAppearance_android_textStyle,6
#ConstraintSet_android_layout_marginStart,6
#AppCompatTheme_listDividerAlertDialog,6
},6
#TabLayout_tabPaddingEnd,6
<tr><td>fixed</td><td>1</td><td></td></tr>,6
#AppCompatTheme_listPreferredItemPaddingLeft,6
#Toolbar_titleMarginBottom,6
#ActionBar_subtitleTextStyle,6
#DrawerArrowToggle_drawableSize,6
#ConstraintSet_android_layout_marginLeft,6
#CardView_cardUseCompatPadding,6
#ConstraintLayout_Layout_layout_goneMarginLeft,6
#SearchView_submitBackground,6
<tr><td>background_style_default</td><td>0</td><td></td></tr>,6
#TextInputLayout_errorEnabled,6
#SwitchCompat_track,6
fyp.generalbusinessgame.test:elevation}</code></td><td></td></tr>,6
#AppCompatTheme_selectableItemBackground,6
#LinearLayoutCompat_android_gravity,6
#BottomNavigationView_itemIconTint,6
#RecycleListView_paddingBottomNoButtons,6
#PopupWindow_overlapAnchor,6
#ConstraintSet_layout_constraintRight_toRightOf,6
#AppCompatTheme_ratingBarStyleIndicator,6
#TextInputLayout_counterOverflowTextAppearance,6
<tr><td>scroll</td><td>1</td><td></td></tr>,6
#TextInputLayout_passwordToggleDrawable,6
#ActionBar_contentInsetRight,6
#ViewStubCompat_android_layout,6
#AppCompatTheme_actionModeShareDrawable,6
#CardView_contentPaddingTop,6
#FloatingActionButton_elevation,6
#CollapsingToolbarLayout_collapsedTitleTextAppearance,6
fyp.generalbusinessgame.test.R.attr#elevation},6
#TextAppearance_android_shadowColor,6
#BottomSheetBehavior_Layout_behavior_skipCollapsed,6
#AppBarLayout_android_keyboardNavigationCluster,6
#ConstraintSet_layout_constraintRight_toLeftOf,6
#AppCompatTheme_checkedTextViewStyle,6
#ActionBarLayout_android_layout_gravity,6
#AppCompatTheme_colorControlActivated,6
#AppCompatImageView_srcCompat,6
#ConstraintSet_layout_goneMarginTop,6
#FontFamily_fontProviderQuery,6
#ConstraintLayout_Layout_layout_constraintWidth_min,6
#AppBarLayout_Layout_layout_scrollInterpolator,6
#PopupWindow_android_popupBackground,6
android:orderInCategory}</code></td><td></td></tr>,6
#ConstraintLayout_Layout_layout_constraintBaseline_toBaselineOf,6
#FontFamily_fontProviderFetchTimeout,6
<tr><td>showCustom</td><td>10</td><td></td></tr>,6
#AppCompatTheme_listPreferredItemHeight,6
#ActionBar_height,6
#ConstraintLayout_Layout_layout_constraintWidth_max,6
#View_paddingEnd,6
#SwitchCompat_thumbTint,6
#AppCompatSeekBar_android_thumb,6
#ActionBar_indeterminateProgressStyle,6
#BottomNavigationView_menu,6
information,6
#TextAppearance_android_fontFamily,6
<tr><td>chains</td><td>8</td><td></td></tr>,6
#AppCompatTheme_listPreferredItemHeightSmall,6
#CoordinatorLayout_Layout_layout_insetEdge,6
#MenuGroup_android_menuCategory,6
#ActivityChooserView},6
#ConstraintSet_layout_constraintHeight_max,6
#CoordinatorLayout_Layout_layout_anchorGravity,6
#MenuItem_tooltipText,6
#ConstraintLayout_Layout_layout_editor_absoluteX,6
<tr><td>mini</td><td>1</td><td></td></tr>,6
#NavigationView_elevation,6
#ConstraintLayout_Layout_layout_constraintStart_toStartOf,6
<tr><td>basic</td><td>4</td><td></td></tr>,6
#Toolbar_android_gravity,6
#ConstraintSet_android_layout_marginTop,6
#ConstraintLayout_Layout_layout_constraintVertical_weight,6
fyp.generalbusinessgame.test:elevation,6
android:alpha,6
#TextInputLayout_errorTextAppearance,6
android:menuCategory,6
#AppCompatTheme_listPopupWindowStyle,6
#Toolbar_logoDescription,6
#LinearLayoutCompat_Layout_android_layout_width,6
#ConstraintSet_layout_constraintLeft_toRightOf,6
<tr><td>pin</td><td>1</td><td></td></tr>,6
types,6
#AppCompatTheme_imageButtonStyle,6
#Toolbar_contentInsetRight,6
#ConstraintSet_android_scaleX,6
#ActionBar_customNavigationLayout,6
#FontFamily_fontProviderAuthority,6
#ConstraintSet_layout_goneMarginStart,6
#ForegroundLinearLayout_android_foreground,6
#CoordinatorLayout_Layout_layout_dodgeInsetEdges,6
#SwitchCompat_splitTrack,6
android:menuCategory}</code></td><td></td></tr>,6
android.R.attr#textColorHint},6
#ConstraintSet_layout_constraintHeight_min,6
#SearchView_commitIcon,6
<tr><td>showHome</td><td>2</td><td></td></tr>,6
android.R.attr#layout_width},6
#ConstraintLayout_Layout_android_maxHeight,6
#FontFamilyFont_font,6
#ConstraintLayout_Layout_layout_goneMarginRight,6
#AppBarLayout_android_background,6
#MenuItem_android_visible,6
#ConstraintSet_layout_constraintGuide_begin,6
#TextAppearance_fontFamily,6
#CollapsingToolbarLayout_contentScrim,6
#AppCompatTheme_buttonStyle,6
#ColorStateListItem_android_alpha,6
#ConstraintSet_layout_constraintVertical_bias,6
#SearchView_closeIcon,6
#AppBarLayoutStates_state_collapsible,6
#LinearConstraintLayout_android_orientation,6
#AppCompatTheme_toolbarNavigationButtonStyle,6
#RecycleListView},6
#Toolbar_maxButtonHeight,6
#Toolbar_titleMarginEnd,6
#TextAppearance_android_textColor,6
#ConstraintSet_android_visibility,6
#ConstraintSet_android_orientation,6
